video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=t7IpV3PjACY&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@CBSNews,CBS News,Arctic melting foreshadows America's climate future,25K,1 month,What scientists are learning there can help Americans understand how climate change is affecting our country too. CBS News ...,2024-01-29 19:47:02.577653
/watch?v=-Vm_gabtIA8&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@CNBC,CNBC,Which U.S. Cities Are Safest From Climate Change?,784K,1 year,Climate havens or climate destinations are cities that are situated in places that avoid the worst effects of natural disasters and ...,2024-01-29 19:47:02.579704
/watch?v=vFDnknU0h0s&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@pbsterra,PBS Terra,"Have We Made ANY Progress on Climate Change? Here's The Data, You Decide",290K,1 year,RCP 8.5 has often been referred to as “business as usual.” It describes a world without action on climate policy and continued ...,2024-01-29 19:47:02.581029
/shorts/GyXUnbkBG-4,/@YahooFinance,Yahoo Finance,Biden on climate change: Our bad 🇺🇸 #shorts,41K,7 months,President Biden addressed climate change and referred to China's international investments under the Belt and Road Initiative ...,2024-01-29 19:47:14.816065
/watch?v=PvvmGkBI2bU&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@ForbesBreakingNews,Forbes Breaking News,Sheldon Whitehouse: Climate Change Is Causing 'Dramatic Changes' In The Oceans,1K,4 days,"At a Senate Budget Committee hearing on Wednesday, Sen. Sheldon Whitehouse (D-RI) spoke about how climate change is ...",2024-01-29 19:47:14.817563
/watch?v=6Ua6IUZKN58&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@TEDx,TEDx Talks,The Paradox of Climate Change | Marshall Brain | TEDxNCState,5.4K,2 months,Marshall Brain explains how humanity faces a gigantic threat from the many effects that climate change is having on the planet.,2024-01-29 19:47:14.819025
/shorts/pLVdV9jWfSo,/@SimonClark,Simon Clark,Is there actually any evidence for climate change? #science,3.6M,5 months,... atmospheric Oceanic cryological biological chemical and migratory evidence is there really any evidence for climate change.,2024-01-29 19:47:14.820445
/watch?v=N6t6QHQtdVw&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@Peekaboo_Kidz,Peekaboo Kidz,Climate Change 101 | Keep The Environment Safe | The Dr Binocs Show | Peekaboo Kidz,1.1M,1 year,Climate | How To Keep The Environment Safe? | Global Warming | Climate Change | What Causes Global Warming?,2024-01-29 19:47:14.822256
/shorts/Ekw3nBuqbf0,/@NasDaily,Nas Daily,How I Touched Climate Change #486,2.7M,8 months,"I saw icebergs breaking and melting - with my own eyes! When you see it, you can finally believe it. This is it for Greenland. I hope ...",2024-01-29 19:47:14.823712
/watch?v=zG53kU3gIa4&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@GlobalLandscapesForum,Global Landscapes Forum - GLF,Top 10 Climate Change Myths BUSTED,52K,1 year,"Is climate change real – and are humans causing it? Myths about climate change are more pervasive than ever, which is why ...",2024-01-29 19:47:14.825711
